Country,Code,Year,Life expectancy,GDP Per Capita,Population,Continent
Palestine,PSE,2015,73.442,5003,4529000,Asia
Panama,PAN,2015,77.776,20723,3968000,North America
Paraguay,PRY,2015,73.662,8539,6689000,South America
Peru,PER,2015,75.792,11445,30471000,South America
Philippines,PHL,2015,70.644,7047,102113000,Asia
Poland,POL,2015,77.859,24177,38034000,Europe
Portugal,PRT,2015,81.224,24915,10368000,Europe
Puerto Rico,PRI,2015,79.52,35384,3382000,North America
Qatar,QAT,2015,79.758,156029,2566000,Asia
Romania,ROU,2015,75.476,19320,19925000,Europe
Russia,RUS,2015,71.464,23691,144984992,Europe
Rwanda,RWA,2015,67.45,1693,11369000,Africa
Saint Lucia,LCA,2015,75.596,10185,179000,North America
Sao Tome and Principe,STP,2015,69.377,3545,199000,Africa
Saudi Arabia,SAU,2015,74.651,51681,31718000,Asia
Senegal,SEN,2015,66.747,2311,14578000,Africa
Serbia,SRB,2015,75.309,12765,8877000,Europe
Seychelles,SYC,2015,73.182,25690,95000,Africa
Sierra Leone,SLE,2015,52.941,1563,7172000,Africa
Singapore,SGP,2015,82.877,65660,5592000,Asia
Slovakia,SVK,2015,76.827,24588,5436000,Europe
Slovenia,SVN,2015,80.673,26268,2071000,Europe
South Africa,ZAF,2015,62.649,12246,55386000,Africa
South Korea,KOR,2015,82.1,35269,50823000,Asia
Spain,ESP,2015,82.981,31847,46672000,Europe
Sri Lanka,LKA,2015,76.316,10763,20908000,Asia
Sudan,SDN,2015,64.429,3625,38903000,Africa
Sweden,SWE,2015,82.251,43746,9765000,Europe
Switzerland,CHE,2015,83.142,59307,8297000,Europe
Syria,SYR,2015,69.908,3049,17997000,Asia
Taiwan,TWN,2015,79.743,41668,23557000,Asia
Tajikistan,TJK,2015,70.137,3789,8454000,Asia
Tanzania,TZA,2015,63.111,2566,51483000,Africa
Thailand,THA,2015,76.091,15020,68715000,Asia
Togo,TGO,2015,59.927,1370,7323000,Africa
Trinidad and Tobago,TTO,2015,72.941,30702,1370000,North America
Tunisia,TUN,2015,75.922,11060,11180000,Africa
Turkey,TUR,2015,76.532,19836,78529000,Asia
Turkmenistan,TKM,2015,67.704,22675,5565000,Asia
Uganda,UGA,2015,61.373,1954,38225000,Africa
Ukraine,UKR,2015,71.535,8961,44922000,Europe
United Arab Emirates,ARE,2015,77.285,74746,9263000,Asia
United Kingdom,GBR,2015,81.052,36941,65860000,Europe
United States,USA,2015,78.91,52591,320878016,North America
Uruguay,URY,2015,77.369,19244,3412000,South America
Uzbekistan,UZB,2015,70.928,9720,30930000,Asia
Venezuela,VEN,2015,72.584,18802,30082000,South America
Vietnam,VNM,2015,75.11,5763,92677000,Asia
Yemen,YEM,2015,66.085,2844,26498000,Asia
Zambia,ZMB,2015,61.737,3478,15879000,Africa
Zimbabwe,ZWE,2015,59.534,1560,13815000,Africa
